source_id,parallax,parallax_error,phot_g_mean_mag
206772438735292672,0.6248,0.2357,19.001
206780032237408256,1.2759,0.2967,19.037
206788798264991104,0.4067,0.0783,17.226
206790580677624320,0.479,0.0822,17.436
206800995971564800,0.408,0.0521,16.245
206807794906797696,0.4112,0.2093,18.709
206836558301384320,1.8642,0.96,20.43
206844942077765632,0.6772,0.9256,20.482
206874079137523712,0.2586,0.0269,15.087
206876754899668992,0.443,0.0715,17.175
206891289069377920,-0.4744,0.734,20.137
206892976992679808,0.6563,1.4029,20.637
206909744546640512,0.2197,0.1541,18.091
206923999545056640,0.6426,0.3853,19.644
206944001205485056,0.7146,0.1741,18.669
206953793732618880,1.1673,0.5065,17.29
206960661381365504,0.5579,0.4389,19.679
206964303512822144,0.9665,0.4177,19.602
206969461769510656,1.4616,0.8587,20.493
206971145396625408,0.3133,0.6084,20.351
206972760306760960,0.4781,0.0584,16.536
206975268565340800,-0.9114,0.9518,20.549
206982896425207936,0.2369,0.4893,20.133
207002825073646592,0.3764,0.3694,19.102
207012067844860800,2.2258,1.0094,20.515
207012578947140992,0.1487,0.2105,18.817
207019004219014144,0.3095,0.1729,18.438
207032163998047360,0.0741,0.0859,17.261
207048141276518784,0.9102,0.1153,17.622
207054983157547136,0.1105,0.4838,19.951
207059690444606848,0.2872,0.0524,16.521
207064874467940480,-0.0456,0.3404,19.52
207082363575196672,0.7324,0.3715,19.436
207084322077815168,0.3607,0.1061,17.487
207087624911798016,0.7703,0.1177,17.562
207088342167495680,0.2021,0.3078,19.094
207088857563664640,0.5895,0.8674,20.418
207091267040950144,-0.2528,0.6425,19.612
207091679357772800,1.2072,0.4785,19.693
207098650092273664,0.5418,0.4891,19.951
207099650820092416,0.6976,0.0612,16.83
207147097321094016,0.2164,0.0837,17.472
207147269119784960,-0.1219,0.1913,17.3
207148888323033216,0.0088,0.678,20.242
207149055825768832,0.6496,0.2043,18.55
207153488232099328,-0.7268,0.3447,18.925
207154415945286400,-0.1178,0.4903,19.71
207154866919262080,-1.5894,1.2717,20.335
207157340816928128,0.1494,0.3242,19.407
207160433196786432,0.9292,0.0132,12.44
207162700941393280,0.0796,0.412,19.409
207709158218835328,0.3925,0.3238,19.524
207724242143705088,0.9985,0.0261,14.795
207727575034780032,-0.4223,0.2052,18.592
207865422012837632,-0.3512,0.3605,19.342
207899919188398848,1.0601,0.0658,16.775
207917309513663744,0.6977,0.0492,15.982
207931397004585856,1.2331,0.8235,20.495
207934485087144192,-0.2265,0.3068,18.974
207934553806629632,0.6135,0.1864,18.157
207935000483274240,0.7708,0.2106,18.345
207949985623299584,1.2681,0.7528,20.39
207975304454909824,0.3797,0.5666,20.106
207977022447173888,0.3959,0.2528,19.125
207989499323551232,0.5227,0.2411,18.884
207995989017840640,1.6412,0.566,20.145
208036018111171840,1.8856,0.0182,13.819
208049796369191808,-0.1806,0.4702,19.684
208059245296790144,-0.1543,0.1842,18.535
208061856637028480,0.4343,0.1659,18.463
